Date de l'épisode;Origine;Polluant;Région;Département;Seuil dépassé
10/12/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
09/12/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
07/12/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
05/12/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
01/12/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
22/03/2016;CONSTAT;PM10;RHONE-ALPES;DROME;
21/03/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;RHONE-ALPES;AIN;80 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;80 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;80 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;RHONE-ALPES;ISERE;50 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;RHONE-ALPES;RHONE;80 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;RHONE-ALPES;SAVOIE;50 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;RHONE-ALPES;SAVOIE;50 µg/m³ / 24h
28/01/2017;CONSTAT;PM10;ALSACE;BAS-RHIN;80 µg/m³ / 24h
28/01/2017;CONSTAT;PM10;ALSACE;HAUT-RHIN;80 µg/m³ / 24h
28/01/2017;CONSTAT;PM10;BOURGOGNE;SAONE-ET-LOIRE;50 µg/m³ / 24h
28/01/2017;CONSTAT;SO2;LA REUNION;LA REUNION;300 µg/m³ / 1h
28/01/2017;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
28/01/2017;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
30/12/2016;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;50 µg/m³ / 24h
29/12/2016;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;50 µg/m³ / 24h
29/12/2016;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;50 µg/m³ / 24h
26/12/2016;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;50 µg/m³ / 24h
25/12/2016;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;50 µg/m³ / 24h
